aX,aY,aZ
-0.868,-0.409,0.357
-0.865,-0.410,0.358
-0.864,-0.408,0.357
-0.862,-0.410,0.359
-0.866,-0.410,0.359
-0.864,-0.410,0.360
-0.863,-0.410,0.359
-0.865,-0.410,0.355
-0.864,-0.412,0.356
-0.865,-0.409,0.355
-0.866,-0.411,0.357
-0.867,-0.410,0.360
-0.867,-0.409,0.359
-0.866,-0.411,0.357
-0.863,-0.412,0.358
-0.866,-0.410,0.360
-0.861,-0.409,0.357
-0.860,-0.409,0.359
-0.863,-0.408,0.358
-0.864,-0.409,0.357
-0.868,-0.409,0.357
-0.866,-0.410,0.361
-0.865,-0.408,0.362
-0.864,-0.409,0.360
-0.864,-0.410,0.362
-0.865,-0.410,0.362
-0.864,-0.411,0.359
-0.864,-0.410,0.360
-0.865,-0.412,0.359
-0.865,-0.409,0.358
-0.865,-0.409,0.359
-0.865,-0.410,0.355
-0.867,-0.412,0.357
-0.865,-0.406,0.355
-0.863,-0.406,0.360
-0.863,-0.410,0.360
-0.868,-0.408,0.359
-0.869,-0.411,0.358
-0.865,-0.409,0.357
-0.867,-0.405,0.357
-0.866,-0.407,0.355
-0.865,-0.409,0.356
-0.866,-0.410,0.354
-0.867,-0.407,0.358
-0.865,-0.409,0.357
-0.867,-0.407,0.359
-0.865,-0.409,0.357
-0.863,-0.409,0.362
-0.866,-0.411,0.359
-0.868,-0.411,0.357
-0.869,-0.408,0.357
-0.866,-0.408,0.358
-0.862,-0.408,0.357
-0.861,-0.409,0.358
-0.864,-0.410,0.359
-0.867,-0.409,0.358
-0.868,-0.409,0.354
-0.862,-0.410,0.356
-0.865,-0.410,0.358
-0.862,-0.411,0.359
-0.863,-0.411,0.360
-0.865,-0.411,0.359
-0.866,-0.411,0.361
-0.866,-0.409,0.359
-0.866,-0.408,0.357
-0.867,-0.408,0.358
-0.868,-0.407,0.356
-0.867,-0.409,0.355
-0.866,-0.410,0.355
-0.864,-0.412,0.355
-0.865,-0.411,0.357
-0.864,-0.411,0.357
-0.864,-0.410,0.356
-0.864,-0.413,0.357
-0.865,-0.409,0.356
-0.866,-0.408,0.359
-0.865,-0.411,0.356
-0.870,-0.409,0.358
-0.868,-0.409,0.361
-0.868,-0.409,0.358
-0.866,-0.410,0.358
-0.864,-0.408,0.358
-0.867,-0.410,0.355
-0.865,-0.410,0.356
-0.866,-0.409,0.359
-0.866,-0.409,0.361
-0.865,-0.409,0.356
-0.863,-0.410,0.358
-0.867,-0.410,0.359
-0.867,-0.410,0.359
-0.864,-0.407,0.357
-0.863,-0.411,0.356
-0.865,-0.409,0.358
-0.864,-0.412,0.358
-0.866,-0.411,0.358
-0.867,-0.409,0.359
-0.865,-0.410,0.357
-0.865,-0.410,0.360
-0.866,-0.408,0.362
-0.864,-0.409,0.359
-0.862,-0.412,0.357
-0.865,-0.409,0.355
-0.864,-0.411,0.357
-0.864,-0.409,0.357
-0.866,-0.409,0.356
-0.866,-0.410,0.358
-0.866,-0.409,0.358
-0.866,-0.406,0.360
-0.867,-0.408,0.359
-0.867,-0.408,0.358
-0.866,-0.410,0.360
-0.863,-0.411,0.357
-0.861,-0.411,0.357
-0.864,-0.409,0.358
-0.864,-0.410,0.360
-0.868,-0.409,0.358
-0.863,-0.411,0.361
-0.864,-0.411,0.360
-0.864,-0.410,0.358
-0.866,-0.411,0.360
-0.862,-0.412,0.357
-0.865,-0.410,0.357
-0.865,-0.413,0.357
-0.865,-0.409,0.356
-0.864,-0.413,0.357
-0.866,-0.407,0.359
-0.865,-0.410,0.357
-0.865,-0.413,0.358
-0.865,-0.412,0.363
-0.866,-0.409,0.359
-0.866,-0.410,0.358
-0.861,-0.410,0.359
-0.863,-0.410,0.359
-0.867,-0.410,0.357
-0.863,-0.409,0.360
-0.865,-0.408,0.361
-0.867,-0.407,0.358
-0.865,-0.409,0.360
-0.863,-0.411,0.357
-0.863,-0.409,0.357
-0.864,-0.411,0.359
-0.863,-0.411,0.359
-0.866,-0.411,0.359
-0.866,-0.409,0.359
-0.865,-0.410,0.360
-0.865,-0.408,0.360
-0.865,-0.410,0.357
-0.866,-0.414,0.357
-0.866,-0.412,0.358
-0.864,-0.411,0.359
-0.862,-0.409,0.361
-0.865,-0.408,0.359
-0.863,-0.410,0.361
-0.863,-0.410,0.359
-0.863,-0.409,0.361
-0.863,-0.411,0.356
-0.868,-0.412,0.358
-0.864,-0.413,0.359
-0.864,-0.415,0.357
-0.867,-0.409,0.362
-0.862,-0.414,0.360
-0.862,-0.408,0.360
-0.863,-0.411,0.362
-0.864,-0.409,0.355
-0.862,-0.410,0.358
-0.863,-0.408,0.361
-0.865,-0.413,0.359
-0.862,-0.410,0.360
-0.863,-0.410,0.362
-0.869,-0.410,0.358
-0.865,-0.412,0.359
-0.864,-0.412,0.358
-0.865,-0.410,0.360
-0.867,-0.408,0.359
-0.866,-0.410,0.357
-0.865,-0.410,0.361
-0.866,-0.408,0.359
-0.867,-0.410,0.360
-0.865,-0.411,0.357
-0.864,-0.410,0.357
-0.863,-0.410,0.359
-0.866,-0.408,0.359
-0.867,-0.409,0.361
-0.862,-0.414,0.362
-0.865,-0.406,0.356
-0.866,-0.407,0.359
-0.867,-0.409,0.358
-0.866,-0.403,0.363
-0.865,-0.405,0.363
-0.863,-0.411,0.365
-0.864,-0.408,0.365
-0.870,-0.407,0.361
-0.868,-0.407,0.356
-0.863,-0.409,0.356
-0.867,-0.405,0.358
-0.867,-0.409,0.358
-0.863,-0.416,0.350
-0.867,-0.411,0.364
-0.865,-0.411,0.359
-0.863,-0.410,0.365
-0.866,-0.410,0.349
-0.871,-0.410,0.349
-0.867,-0.407,0.352
-0.864,-0.411,0.361
-0.863,-0.411,0.359
-0.865,-0.410,0.362
-0.864,-0.410,0.361
-0.868,-0.407,0.360
-0.866,-0.406,0.363
-0.867,-0.409,0.358
-0.868,-0.400,0.369
-0.869,-0.406,0.355
-0.868,-0.405,0.360
-0.866,-0.406,0.355
-0.868,-0.408,0.358
-0.867,-0.408,0.359
-0.862,-0.412,0.357
-0.865,-0.408,0.362
-0.866,-0.406,0.363
-0.864,-0.406,0.360
-0.867,-0.408,0.357
-0.866,-0.410,0.360
-0.866,-0.408,0.358
-0.865,-0.407,0.359
-0.866,-0.408,0.355
-0.867,-0.406,0.357
-0.866,-0.407,0.358
-0.867,-0.409,0.360
-0.865,-0.408,0.358
-0.863,-0.409,0.361
-0.865,-0.408,0.357
-0.862,-0.406,0.359
-0.864,-0.409,0.358
-0.865,-0.406,0.357
-0.867,-0.409,0.358
-0.866,-0.409,0.358
-0.866,-0.408,0.359
-0.865,-0.409,0.357
-0.866,-0.409,0.359
-0.864,-0.406,0.361
-0.866,-0.408,0.359
-0.867,-0.407,0.360
-0.865,-0.409,0.359
-0.864,-0.410,0.358
-0.867,-0.408,0.358
-0.866,-0.409,0.358
-0.867,-0.409,0.361
-0.867,-0.408,0.359
-0.866,-0.408,0.358
-0.866,-0.408,0.358
-0.866,-0.407,0.358
-0.863,-0.409,0.361
-0.868,-0.409,0.358
-0.866,-0.407,0.360
-0.867,-0.407,0.360
-0.865,-0.409,0.360
-0.869,-0.406,0.360
-0.863,-0.410,0.361
-0.866,-0.410,0.359
-0.865,-0.408,0.361
-0.862,-0.409,0.358
-0.867,-0.408,0.352
-0.862,-0.410,0.354
-0.863,-0.408,0.354
-0.864,-0.408,0.357
-0.864,-0.411,0.357
-0.863,-0.413,0.363
-0.864,-0.405,0.365
-0.863,-0.407,0.367
-0.861,-0.407,0.367
-0.859,-0.408,0.372
-0.865,-0.407,0.376
-0.863,-0.407,0.375
-0.863,-0.406,0.371
-0.867,-0.408,0.368
-0.863,-0.409,0.366
-0.864,-0.411,0.363
-0.866,-0.409,0.362
-0.863,-0.411,0.360
-0.865,-0.410,0.361
-0.860,-0.406,0.368
-0.859,-0.414,0.358
-0.862,-0.411,0.359
-0.860,-0.407,0.361
-0.864,-0.415,0.354
-0.864,-0.414,0.359
-0.864,-0.415,0.356
-0.868,-0.412,0.355
-0.869,-0.413,0.356
-0.867,-0.412,0.360
-0.865,-0.415,0.357
-0.862,-0.413,0.362
-0.863,-0.407,0.364
-0.862,-0.417,0.359
-0.857,-0.407,0.369
-0.863,-0.410,0.367
-0.864,-0.409,0.370
-0.862,-0.408,0.364
-0.858,-0.411,0.367
-0.855,-0.412,0.365
-0.860,-0.414,0.366
-0.865,-0.410,0.362
-0.875,-0.412,0.357
-0.865,-0.421,0.352
-0.868,-0.419,0.351
-0.864,-0.413,0.352
-0.857,-0.408,0.356
-0.862,-0.404,0.357
-0.866,-0.403,0.359
-0.863,-0.399,0.370
-0.865,-0.401,0.370
-0.864,-0.401,0.367
-0.866,-0.403,0.368
-0.868,-0.399,0.370
-0.866,-0.406,0.372
-0.861,-0.407,0.372
-0.863,-0.407,0.371
-0.861,-0.409,0.369
-0.860,-0.410,0.368
-0.861,-0.408,0.366
-0.864,-0.409,0.363
-0.868,-0.411,0.360
-0.868,-0.412,0.357
-0.869,-0.407,0.354
-0.862,-0.406,0.354
-0.860,-0.412,0.358
-0.859,-0.401,0.369
-0.862,-0.431,0.356
-0.863,-0.402,0.368
-0.868,-0.409,0.357
-0.850,-0.410,0.365
-0.859,-0.413,0.357
-0.867,-0.408,0.363
-0.864,-0.415,0.369
-0.858,-0.406,0.377
-0.883,-0.388,0.398
-0.852,-0.411,0.374
-0.867,-0.414,0.389
-0.865,-0.410,0.362
-0.865,-0.404,0.375
-0.867,-0.397,0.390
-0.869,-0.399,0.379
-0.861,-0.405,0.370
-0.864,-0.404,0.357
-0.864,-0.404,0.363
-0.863,-0.404,0.366
-0.868,-0.408,0.362
-0.866,-0.411,0.350
-0.856,-0.414,0.358
-0.857,-0.412,0.360
-0.854,-0.415,0.363
-0.857,-0.411,0.362
-0.857,-0.409,0.365
-0.862,-0.410,0.365
-0.865,-0.409,0.364
-0.869,-0.407,0.364
-0.866,-0.403,0.366
-0.871,-0.404,0.366
-0.867,-0.403,0.367
-0.867,-0.405,0.366
-0.867,-0.403,0.368
-0.862,-0.404,0.368
-0.864,-0.406,0.367
-0.865,-0.405,0.368
-0.863,-0.407,0.367
-0.863,-0.409,0.366
-0.860,-0.408,0.362
-0.862,-0.409,0.364
-0.864,-0.409,0.362
-0.862,-0.407,0.363
-0.861,-0.410,0.363
-0.864,-0.409,0.360
-0.863,-0.408,0.364
-0.867,-0.407,0.362
-0.864,-0.408,0.366
-0.863,-0.405,0.366
-0.865,-0.405,0.368
-0.865,-0.404,0.368
-0.865,-0.403,0.368
-0.865,-0.405,0.369
-0.863,-0.406,0.368
-0.864,-0.406,0.366
-0.864,-0.407,0.362
-0.861,-0.409,0.364
-0.862,-0.407,0.364
-0.864,-0.406,0.363
-0.864,-0.406,0.363
-0.865,-0.406,0.364
-0.866,-0.409,0.364
-0.861,-0.407,0.365
-0.862,-0.407,0.366
-0.863,-0.406,0.364
-0.863,-0.408,0.366
-0.865,-0.406,0.367
-0.863,-0.405,0.366
-0.863,-0.407,0.367
-0.865,-0.405,0.367
-0.863,-0.404,0.366
-0.866,-0.407,0.366
-0.864,-0.407,0.367
-0.865,-0.407,0.365
-0.863,-0.404,0.366
-0.862,-0.407,0.363
-0.862,-0.408,0.364
-0.864,-0.409,0.362
-0.862,-0.408,0.366
-0.864,-0.407,0.365
-0.863,-0.406,0.364
-0.864,-0.407,0.363
-0.867,-0.406,0.364
-0.865,-0.408,0.365
-0.863,-0.406,0.365
-0.865,-0.406,0.366
-0.864,-0.406,0.364
-0.861,-0.409,0.365
-0.864,-0.408,0.366
-0.862,-0.408,0.365
-0.863,-0.405,0.364
-0.864,-0.406,0.364
-0.864,-0.408,0.365
-0.862,-0.406,0.363
-0.862,-0.408,0.364
-0.863,-0.410,0.365
-0.864,-0.407,0.364
-0.864,-0.407,0.366
-0.864,-0.406,0.365
-0.864,-0.408,0.361
-0.864,-0.409,0.365
-0.864,-0.408,0.365
-0.862,-0.406,0.366
-0.864,-0.410,0.365
-0.865,-0.406,0.364
-0.865,-0.408,0.364
-0.862,-0.406,0.364
-0.864,-0.409,0.364
-0.865,-0.408,0.366
-0.863,-0.408,0.364
-0.862,-0.408,0.366
-0.864,-0.409,0.362
-0.862,-0.409,0.364
-0.862,-0.409,0.365
-0.862,-0.407,0.365
-0.864,-0.408,0.363
-0.864,-0.411,0.365
-0.863,-0.407,0.364
-0.864,-0.409,0.366
-0.860,-0.407,0.364
-0.865,-0.406,0.365
-0.860,-0.412,0.366
-0.864,-0.412,0.364
-0.864,-0.406,0.363
-0.864,-0.410,0.361
-0.864,-0.410,0.363
-0.864,-0.408,0.365
-0.866,-0.410,0.364
-0.867,-0.412,0.363
-0.866,-0.410,0.360
-0.861,-0.412,0.359
-0.860,-0.413,0.359
-0.866,-0.410,0.358
-0.864,-0.409,0.360
-0.862,-0.415,0.356
-0.864,-0.408,0.362
-0.867,-0.409,0.360
-0.867,-0.406,0.363
-0.864,-0.407,0.360
-0.866,-0.412,0.359
-0.864,-0.409,0.359
-0.862,-0.409,0.363
-0.862,-0.408,0.361
-0.861,-0.409,0.363
-0.862,-0.411,0.361
-0.864,-0.410,0.360
-0.865,-0.411,0.361
-0.863,-0.411,0.360
-0.865,-0.408,0.357
-0.864,-0.411,0.359
-0.863,-0.409,0.360
-0.864,-0.409,0.360
-0.863,-0.410,0.361
-0.863,-0.408,0.361
-0.862,-0.411,0.361
-0.864,-0.409,0.361
-0.863,-0.411,0.360
-0.864,-0.411,0.360
-0.865,-0.409,0.363
-0.865,-0.411,0.365
-0.862,-0.409,0.360
-0.864,-0.409,0.360
-0.865,-0.411,0.360
-0.863,-0.410,0.360
-0.864,-0.410,0.361
-0.864,-0.410,0.362
-0.861,-0.411,0.362
-0.860,-0.409,0.362
-0.863,-0.407,0.360
-0.866,-0.410,0.363
-0.862,-0.408,0.361
-0.862,-0.410,0.363
-0.862,-0.409,0.363
-0.865,-0.411,0.360
-0.864,-0.408,0.362
-0.863,-0.407,0.362
-0.866,-0.413,0.363
-0.866,-0.408,0.358
-0.864,-0.409,0.361
-0.865,-0.412,0.359
-0.861,-0.411,0.358
-0.860,-0.413,0.354
-0.864,-0.409,0.358
-0.865,-0.415,0.357
-0.865,-0.412,0.356
-0.864,-0.409,0.356
