aX,aY,aZ
-0.080,-0.777,-0.629
-0.082,-0.779,-0.628
-0.083,-0.780,-0.628
-0.081,-0.775,-0.630
-0.080,-0.776,-0.631
-0.081,-0.772,-0.631
-0.076,-0.769,-0.628
-0.076,-0.762,-0.628
-0.075,-0.761,-0.627
-0.075,-0.761,-0.629
-0.077,-0.765,-0.627
-0.078,-0.769,-0.631
-0.078,-0.774,-0.629
-0.081,-0.784,-0.631
-0.084,-0.787,-0.634
-0.084,-0.785,-0.627
-0.081,-0.774,-0.626
-0.078,-0.770,-0.626
-0.074,-0.766,-0.623
-0.073,-0.766,-0.624
-0.074,-0.772,-0.625
-0.075,-0.771,-0.628
-0.079,-0.775,-0.630
-0.081,-0.777,-0.633
-0.081,-0.778,-0.632
-0.080,-0.772,-0.629
-0.081,-0.769,-0.627
-0.075,-0.763,-0.627
-0.073,-0.763,-0.624
-0.072,-0.767,-0.626
-0.076,-0.775,-0.632
-0.071,-0.787,-0.627
-0.081,-0.783,-0.641
-0.088,-0.779,-0.635
-0.080,-0.767,-0.625
-0.078,-0.768,-0.627
-0.078,-0.765,-0.625
-0.078,-0.767,-0.626
-0.079,-0.770,-0.627
-0.081,-0.775,-0.626
-0.080,-0.772,-0.628
-0.076,-0.772,-0.630
-0.076,-0.765,-0.629
-0.078,-0.771,-0.629
-0.075,-0.772,-0.632
-0.074,-0.771,-0.630
-0.076,-0.767,-0.630
-0.078,-0.771,-0.628
-0.078,-0.774,-0.627
-0.079,-0.772,-0.626
-0.079,-0.770,-0.625
-0.078,-0.769,-0.625
-0.078,-0.771,-0.629
-0.079,-0.777,-0.629
-0.081,-0.771,-0.630
-0.079,-0.764,-0.630
-0.079,-0.763,-0.624
-0.076,-0.770,-0.629
-0.076,-0.774,-0.634
-0.078,-0.775,-0.637
-0.074,-0.782,-0.635
-0.073,-0.786,-0.636
-0.072,-0.778,-0.634
-0.074,-0.775,-0.630
-0.078,-0.767,-0.627
-0.077,-0.768,-0.626
-0.075,-0.769,-0.628
-0.073,-0.774,-0.629
-0.072,-0.778,-0.630
-0.074,-0.777,-0.632
-0.073,-0.776,-0.632
-0.074,-0.773,-0.630
-0.078,-0.770,-0.630
-0.078,-0.770,-0.630
-0.081,-0.764,-0.631
-0.078,-0.775,-0.631
-0.078,-0.770,-0.631
-0.075,-0.761,-0.625
-0.086,-0.771,-0.635
-0.083,-0.765,-0.628
-0.082,-0.762,-0.629
-0.083,-0.768,-0.630
-0.080,-0.763,-0.630
-0.078,-0.768,-0.628
-0.073,-0.775,-0.631
-0.079,-0.777,-0.635
-0.072,-0.779,-0.627
-0.074,-0.775,-0.628
-0.075,-0.773,-0.626
-0.076,-0.770,-0.626
-0.075,-0.773,-0.626
-0.075,-0.775,-0.628
-0.082,-0.778,-0.626
-0.080,-0.773,-0.630
-0.078,-0.759,-0.635
-0.072,-0.750,-0.629
-0.075,-0.767,-0.627
-0.079,-0.778,-0.630
-0.081,-0.781,-0.637
-0.081,-0.777,-0.633
-0.080,-0.770,-0.630
-0.075,-0.766,-0.632
-0.075,-0.765,-0.631
-0.076,-0.766,-0.632
-0.077,-0.768,-0.630
-0.081,-0.772,-0.634
-0.075,-0.780,-0.626
-0.077,-0.777,-0.634
-0.079,-0.774,-0.633
-0.074,-0.766,-0.630
-0.072,-0.766,-0.629
-0.074,-0.764,-0.630
-0.071,-0.772,-0.632
-0.073,-0.775,-0.631
-0.077,-0.773,-0.631
-0.077,-0.769,-0.627
-0.076,-0.768,-0.631
-0.076,-0.765,-0.631
-0.077,-0.764,-0.634
-0.075,-0.771,-0.632
-0.076,-0.774,-0.634
-0.078,-0.780,-0.632
-0.079,-0.770,-0.628
-0.081,-0.766,-0.626
-0.074,-0.761,-0.628
-0.074,-0.777,-0.630
-0.076,-0.781,-0.634
-0.075,-0.776,-0.632
-0.077,-0.771,-0.629
-0.077,-0.767,-0.629
-0.079,-0.771,-0.626
-0.077,-0.771,-0.632
-0.076,-0.774,-0.630
-0.090,-0.768,-0.628
-0.078,-0.758,-0.625
-0.071,-0.765,-0.629
-0.076,-0.777,-0.633
-0.082,-0.772,-0.630
-0.081,-0.768,-0.628
-0.076,-0.767,-0.627
-0.077,-0.767,-0.628
-0.079,-0.770,-0.629
-0.077,-0.776,-0.632
-0.080,-0.774,-0.637
-0.076,-0.768,-0.635
-0.068,-0.768,-0.632
-0.069,-0.769,-0.632
-0.070,-0.774,-0.634
-0.080,-0.779,-0.633
-0.077,-0.763,-0.628
-0.078,-0.765,-0.628
-0.074,-0.771,-0.628
-0.082,-0.770,-0.630
-0.078,-0.768,-0.631
-0.074,-0.771,-0.632
-0.080,-0.770,-0.631
-0.083,-0.770,-0.630
-0.081,-0.762,-0.629
-0.076,-0.761,-0.626
-0.073,-0.772,-0.631
-0.081,-0.783,-0.632
-0.081,-0.768,-0.632
-0.079,-0.768,-0.626
-0.076,-0.769,-0.628
-0.078,-0.770,-0.628
-0.079,-0.772,-0.632
-0.081,-0.769,-0.635
-0.071,-0.765,-0.634
-0.069,-0.768,-0.633
-0.072,-0.779,-0.636
-0.076,-0.776,-0.634
-0.077,-0.762,-0.630
-0.075,-0.763,-0.630
-0.075,-0.772,-0.630
-0.077,-0.778,-0.631
-0.078,-0.775,-0.630
-0.081,-0.771,-0.629
-0.079,-0.764,-0.626
-0.078,-0.770,-0.627
-0.077,-0.775,-0.632
-0.077,-0.773,-0.633
-0.080,-0.767,-0.629
-0.078,-0.759,-0.630
-0.077,-0.772,-0.625
-0.075,-0.773,-0.632
-0.081,-0.767,-0.627
-0.084,-0.773,-0.627
-0.082,-0.777,-0.633
-0.077,-0.765,-0.625
-0.078,-0.764,-0.627
-0.077,-0.769,-0.632
-0.071,-0.768,-0.630
-0.072,-0.771,-0.635
-0.070,-0.778,-0.635
-0.069,-0.773,-0.635
-0.070,-0.773,-0.631
-0.072,-0.777,-0.631
-0.075,-0.773,-0.627
-0.077,-0.770,-0.628
-0.076,-0.775,-0.620
-0.086,-0.785,-0.630
-0.084,-0.774,-0.629
-0.079,-0.753,-0.628
-0.072,-0.785,-0.632
-0.079,-0.780,-0.640
-0.084,-0.755,-0.625
-0.079,-0.760,-0.624
-0.079,-0.764,-0.626
-0.081,-0.774,-0.630
-0.078,-0.778,-0.630
-0.079,-0.775,-0.630
-0.072,-0.772,-0.627
-0.071,-0.774,-0.629
-0.072,-0.777,-0.630
-0.070,-0.780,-0.633
-0.078,-0.770,-0.629
-0.080,-0.772,-0.628
-0.082,-0.772,-0.626
-0.081,-0.771,-0.630
-0.081,-0.765,-0.626
-0.078,-0.767,-0.628
-0.079,-0.772,-0.630
-0.077,-0.772,-0.630
-0.079,-0.768,-0.630
-0.076,-0.769,-0.630
-0.078,-0.770,-0.628
-0.079,-0.773,-0.631
-0.079,-0.779,-0.630
-0.076,-0.779,-0.633
-0.075,-0.773,-0.628
-0.078,-0.768,-0.630
-0.079,-0.768,-0.629
-0.077,-0.775,-0.634
-0.076,-0.772,-0.630
-0.077,-0.772,-0.631
-0.078,-0.770,-0.632
-0.079,-0.773,-0.630
-0.076,-0.775,-0.627
-0.080,-0.771,-0.627
-0.080,-0.769,-0.628
-0.078,-0.768,-0.629
-0.078,-0.773,-0.630
-0.076,-0.772,-0.630
-0.078,-0.769,-0.630
-0.078,-0.767,-0.628
-0.078,-0.769,-0.631
-0.076,-0.777,-0.633
-0.076,-0.772,-0.631
-0.077,-0.773,-0.631
-0.077,-0.773,-0.630
-0.077,-0.773,-0.629
-0.078,-0.772,-0.629
-0.079,-0.772,-0.628
-0.078,-0.769,-0.631
-0.077,-0.768,-0.629
-0.077,-0.769,-0.630
-0.081,-0.772,-0.629
-0.077,-0.772,-0.631
-0.078,-0.771,-0.631
-0.077,-0.770,-0.630
-0.077,-0.771,-0.631
-0.076,-0.772,-0.629
-0.075,-0.772,-0.633
-0.078,-0.769,-0.629
-0.078,-0.772,-0.629
-0.078,-0.770,-0.630
-0.075,-0.770,-0.630
-0.079,-0.772,-0.630
-0.078,-0.770,-0.632
-0.077,-0.769,-0.631
-0.079,-0.772,-0.629
-0.078,-0.770,-0.632
-0.076,-0.771,-0.633
-0.077,-0.773,-0.630
-0.082,-0.774,-0.627
-0.075,-0.770,-0.630
-0.070,-0.771,-0.629
-0.076,-0.768,-0.629
-0.081,-0.776,-0.633
-0.080,-0.774,-0.633
-0.076,-0.768,-0.628
-0.077,-0.769,-0.630
-0.079,-0.768,-0.630
-0.079,-0.772,-0.634
-0.077,-0.776,-0.632
-0.075,-0.772,-0.632
-0.076,-0.765,-0.630
-0.075,-0.771,-0.630
-0.076,-0.770,-0.633
-0.077,-0.776,-0.631
-0.076,-0.771,-0.630
-0.078,-0.770,-0.631
-0.077,-0.770,-0.630
-0.075,-0.775,-0.634
-0.077,-0.775,-0.629
-0.076,-0.773,-0.631
-0.076,-0.769,-0.631
-0.078,-0.769,-0.631
-0.078,-0.772,-0.632
-0.077,-0.772,-0.633
-0.077,-0.770,-0.630
-0.078,-0.768,-0.630
-0.078,-0.768,-0.632
