aX,aY,aZ
-0.872,-0.034,-0.345
-0.901,0.029,-0.357
-0.919,0.054,-0.366
-0.935,0.004,-0.354
-0.967,-0.060,-0.338
-1.015,-0.067,-0.301
-1.057,-0.056,-0.250
-1.073,-0.013,-0.230
-1.077,0.049,-0.285
-1.072,0.143,-0.437
-1.080,0.108,-0.608
-1.079,-0.123,-0.643
-1.029,-0.304,-0.555
-0.877,-0.330,-0.409
-0.736,-0.298,-0.321
-0.716,-0.228,-0.422
-0.763,-0.253,-0.630
-0.779,-0.254,-0.720
-0.793,-0.225,-0.796
-0.837,-0.013,-0.874
-0.865,-0.009,-0.822
-0.870,0.051,-0.668
-0.886,-0.013,-0.565
-0.896,-0.097,-0.463
-0.880,-0.198,-0.403
-0.870,-0.266,-0.373
-0.916,-0.267,-0.353
-0.956,-0.223,-0.331
-0.997,-0.157,-0.319
-0.998,-0.142,-0.325
-0.982,-0.148,-0.328
-0.964,-0.131,-0.331
-0.933,-0.146,-0.333
-0.918,-0.136,-0.338
-0.925,-0.118,-0.372
-0.872,-0.259,-0.442
-0.833,-0.266,-0.464
-0.830,-0.279,-0.500
-0.843,-0.282,-0.502
-0.856,-0.255,-0.488
-0.859,-0.244,-0.462
-0.885,-0.203,-0.441
-0.905,-0.181,-0.417
-0.910,-0.201,-0.408
-0.917,-0.221,-0.404
-0.906,-0.242,-0.406
-0.893,-0.278,-0.401
-0.886,-0.284,-0.402
-0.886,-0.279,-0.407
-0.885,-0.285,-0.428
-0.874,-0.315,-0.440
-0.864,-0.298,-0.448
-0.849,-0.289,-0.450
-0.839,-0.322,-0.437
-0.835,-0.345,-0.422
-0.840,-0.325,-0.410
-0.840,-0.344,-0.399
-0.860,-0.366,-0.413
-0.858,-0.361,-0.435
-0.839,-0.365,-0.449
-0.809,-0.379,-0.471
-0.795,-0.360,-0.484
-0.780,-0.353,-0.484
-0.788,-0.344,-0.502
-0.791,-0.340,-0.514
-0.818,-0.321,-0.556
-0.819,-0.271,-0.608
-0.815,-0.270,-0.594
-0.793,-0.199,-0.586
-0.801,-0.143,-0.518
-0.875,-0.062,-0.448
-1.035,-0.027,-0.365
-1.180,-0.206,-0.345
-1.257,-0.289,-0.265
-1.349,-0.179,-0.265
-1.437,-0.070,-0.342
-1.425,0.056,-0.385
-1.329,0.177,-0.440
-1.199,0.237,-0.500
-1.040,0.229,-0.549
-0.883,0.242,-0.586
-0.783,0.194,-0.600
-0.768,0.000,-0.607
-0.854,-0.253,-0.234
-1.027,0.166,-0.535
-0.831,0.245,-0.575
-0.734,0.147,-0.444
-0.794,0.221,-0.429
-0.823,0.084,-0.405
-0.808,-0.088,-0.353
-0.903,-0.082,-0.186
-0.968,-0.106,-0.020
-1.001,-0.082,0.162
-1.203,-0.132,0.307
-1.154,-0.240,0.201
-1.054,-0.239,-0.137
-1.027,-0.300,-0.498
-0.926,-0.041,-0.565
-0.691,-0.070,-0.870
-0.487,-0.043,-0.882
-0.534,0.054,-0.819
-0.664,-0.071,-0.747
-0.526,-0.035,-0.759
-0.721,0.040,-0.672
-0.841,0.021,-0.557
-0.712,0.001,-0.517
-0.650,0.037,-0.450
-0.711,0.023,-0.266
-0.836,-0.084,-0.179
-0.860,-0.260,-0.211
-1.072,-0.387,-0.243
-1.029,-0.334,-0.171
-1.072,-0.233,-0.264
-0.662,0.021,-0.385
-0.486,-0.003,-0.506
0.071,-0.110,-0.644
-0.082,-0.345,-0.203
-0.273,-0.403,-0.144
-1.992,1.108,-1.196
-1.331,0.325,-1.011
-1.111,0.050,-0.924
-0.797,-0.186,-0.935
-0.589,0.011,-0.684
-0.589,0.100,-0.652
-0.617,0.025,-0.650
-0.658,0.071,-0.743
-0.577,0.102,-0.852
-0.525,0.131,-0.896
-0.587,0.023,-0.939
-0.640,-0.024,-0.974
-0.672,0.066,-1.080
-0.852,0.061,-0.718
-0.974,0.187,-0.589
-0.752,0.090,-0.503
-0.745,-0.171,-0.359
-0.690,-0.185,-0.264
-0.710,-0.076,-0.389
-0.617,-0.051,-0.642
-0.556,-0.038,-0.724
-0.453,-0.011,-0.748
-0.509,0.038,-0.685
-0.530,0.061,-0.623
-0.577,0.112,-0.575
-0.630,0.231,-0.580
-0.628,0.279,-0.574
-0.588,0.210,-0.561
-0.651,0.237,-0.639
-0.671,0.219,-0.650
-0.606,0.127,-0.692
-0.569,0.125,-0.732
-0.569,0.156,-0.748
-0.476,0.007,-0.797
-0.396,0.021,-0.735
-0.398,-0.027,-0.705
-0.405,-0.007,-0.594
-0.476,0.165,-0.482
-0.479,0.115,-0.487
-0.478,0.238,-0.462
-0.448,0.100,-0.561
-0.425,0.138,-0.572
-0.437,0.190,-0.586
-0.888,0.084,-0.970
-1.077,-0.247,-1.346
-1.154,0.057,-0.822
-1.007,-0.344,-0.992
-0.917,-0.293,-1.249
-1.002,0.314,-1.852
-1.090,0.115,-0.764
-1.232,0.073,-0.334
-1.188,-0.671,-0.325
-0.967,-0.353,-0.297
-0.933,-0.259,-0.371
-0.949,-0.073,-0.595
-1.029,-0.341,-0.658
-0.873,-0.202,-0.398
-0.746,-0.278,-0.337
-0.743,-0.145,-0.360
-0.678,-0.173,-0.425
-0.829,-0.417,-0.612
-0.857,-0.338,-0.472
-0.828,-0.383,-0.435
-0.676,-0.325,-0.474
-0.620,-0.374,-0.666
-0.590,-0.391,-0.736
-0.460,-0.337,-0.856
-0.618,-0.165,-0.739
-0.635,-0.177,-0.711
-0.600,-0.147,-0.734
-0.613,-0.141,-0.693
-0.602,-0.132,-0.623
-0.522,0.000,-0.658
-0.647,-0.110,-0.621
-0.694,-0.156,-0.622
-0.864,-0.168,-0.741
-0.858,-0.438,-0.446
-0.783,-0.343,-0.230
-0.595,-0.311,0.085
-0.449,-0.391,-0.056
-0.355,-0.409,-0.268
-0.569,-0.126,-0.656
-0.929,0.022,-0.514
-0.837,-0.070,-0.439
-0.922,-0.305,-0.567
-0.973,-0.352,-0.731
-1.107,-0.295,-0.985
-1.131,-0.140,-1.136
-1.143,0.107,-1.101
-1.129,0.169,-0.975
-1.016,0.020,-0.782
-0.859,-0.135,-0.935
-0.784,-0.096,-0.902
-0.705,0.026,-0.660
-0.787,0.065,-0.669
-0.796,0.103,-0.649
-0.767,0.027,-0.643
