aX,aY,aZ
-0.960,-0.094,-0.323
-0.950,-0.101,-0.327
-0.948,-0.097,-0.332
-0.941,-0.096,-0.337
-0.940,-0.100,-0.345
-0.941,-0.098,-0.353
-0.937,-0.094,-0.370
-0.927,-0.101,-0.387
-0.915,-0.102,-0.403
-0.912,-0.101,-0.409
-0.906,-0.102,-0.412
-0.902,-0.097,-0.415
-0.898,-0.101,-0.420
-0.898,-0.100,-0.427
-0.898,-0.095,-0.427
-0.898,-0.098,-0.427
-0.896,-0.100,-0.424
-0.899,-0.099,-0.426
-0.901,-0.100,-0.425
-0.901,-0.097,-0.424
-0.903,-0.100,-0.419
-0.905,-0.100,-0.413
-0.911,-0.099,-0.413
-0.911,-0.102,-0.416
-0.916,-0.109,-0.419
-0.907,-0.097,-0.410
-0.909,-0.095,-0.406
-0.904,-0.095,-0.411
-0.903,-0.095,-0.422
-0.901,-0.096,-0.428
-0.897,-0.093,-0.431
-0.898,-0.096,-0.433
-0.897,-0.097,-0.432
-0.892,-0.096,-0.437
-0.892,-0.094,-0.444
-0.894,-0.086,-0.444
-0.903,-0.083,-0.432
-0.901,-0.090,-0.418
-0.898,-0.093,-0.407
-0.904,-0.087,-0.401
-0.908,-0.096,-0.400
-0.912,-0.100,-0.402
-0.918,-0.089,-0.396
-0.921,-0.089,-0.395
-0.921,-0.082,-0.383
-0.921,-0.084,-0.375
-0.923,-0.079,-0.366
-0.929,-0.082,-0.366
-0.933,-0.090,-0.367
-0.933,-0.094,-0.367
-0.932,-0.098,-0.366
-0.934,-0.095,-0.362
-0.940,-0.094,-0.356
-0.939,-0.093,-0.359
-0.936,-0.097,-0.364
-0.931,-0.098,-0.371
-0.926,-0.095,-0.371
-0.922,-0.083,-0.385
-0.918,-0.082,-0.394
-0.915,-0.091,-0.403
-0.914,-0.092,-0.405
-0.913,-0.091,-0.410
-0.911,-0.089,-0.414
-0.907,-0.085,-0.420
-0.908,-0.088,-0.423
-0.908,-0.081,-0.421
-0.905,-0.073,-0.421
-0.904,-0.073,-0.423
-0.907,-0.074,-0.420
-0.905,-0.065,-0.420
-0.908,-0.061,-0.419
-0.909,-0.059,-0.422
-0.912,-0.056,-0.424
-0.910,-0.055,-0.419
-0.910,-0.056,-0.417
-0.906,-0.053,-0.420
-0.902,-0.050,-0.429
-0.899,-0.045,-0.440
-0.899,-0.031,-0.452
-0.900,-0.016,-0.465
-0.883,-0.004,-0.478
-0.874,-0.008,-0.484
-0.879,-0.010,-0.482
-0.880,-0.001,-0.481
-0.897,0.007,-0.479
-0.915,-0.003,-0.476
-0.918,-0.015,-0.471
-0.915,-0.020,-0.463
-0.906,-0.015,-0.461
-0.906,-0.011,-0.465
-0.927,-0.003,-0.493
-0.923,0.001,-0.519
-0.925,0.012,-0.532
-0.929,0.010,-0.541
-0.911,0.009,-0.559
-0.904,0.042,-0.571
-0.905,0.072,-0.639
-0.897,0.069,-0.669
-0.910,0.055,-0.648
-0.905,0.033,-0.641
-0.879,-0.012,-0.626
-0.835,-0.013,-0.640
-0.803,0.028,-0.687
-0.778,0.041,-0.690
-0.833,0.093,-0.723
-0.924,0.166,-0.789
-0.795,0.064,-0.824
-0.739,0.089,-0.936
-0.773,0.223,-0.978
-0.776,0.181,-0.861
