aX,aY,aZ
-0.252,-0.799,0.617
-0.248,-0.794,0.623
-0.237,-0.792,0.616
-0.227,-0.805,0.590
-0.220,-0.811,0.574
-0.221,-0.813,0.562
-0.219,-0.818,0.555
-0.221,-0.819,0.549
-0.215,-0.820,0.537
-0.215,-0.826,0.533
-0.212,-0.840,0.535
-0.215,-0.832,0.549
-0.224,-0.813,0.576
-0.229,-0.790,0.609
-0.238,-0.781,0.635
-0.250,-0.771,0.650
-0.263,-0.778,0.652
-0.268,-0.794,0.652
-0.269,-0.807,0.638
-0.263,-0.805,0.626
-0.246,-0.779,0.630
-0.235,-0.762,0.640
-0.227,-0.759,0.650
-0.223,-0.757,0.650
-0.214,-0.758,0.638
-0.206,-0.771,0.619
-0.199,-0.784,0.606
-0.192,-0.794,0.590
-0.190,-0.799,0.581
-0.190,-0.809,0.582
-0.184,-0.807,0.583
-0.210,-0.803,0.597
-0.209,-0.790,0.614
-0.221,-0.776,0.630
-0.232,-0.752,0.650
-0.243,-0.742,0.669
-0.252,-0.734,0.685
-0.257,-0.732,0.703
-0.265,-0.726,0.720
-0.277,-0.713,0.734
-0.276,-0.728,0.728
-0.261,-0.744,0.711
-0.263,-0.752,0.692
-0.254,-0.759,0.671
-0.245,-0.766,0.649
-0.238,-0.774,0.632
-0.229,-0.787,0.618
-0.232,-0.792,0.600
-0.214,-0.797,0.587
-0.228,-0.803,0.573
-0.220,-0.809,0.566
-0.222,-0.815,0.561
-0.223,-0.822,0.560
-0.227,-0.814,0.562
-0.231,-0.805,0.570
-0.233,-0.793,0.585
-0.237,-0.789,0.599
-0.249,-0.780,0.615
-0.256,-0.775,0.628
-0.263,-0.773,0.637
-0.264,-0.772,0.643
-0.270,-0.770,0.646
-0.270,-0.768,0.650
-0.271,-0.762,0.652
-0.268,-0.758,0.655
-0.267,-0.752,0.661
-0.266,-0.752,0.668
-0.264,-0.752,0.666
-0.264,-0.753,0.662
-0.259,-0.752,0.658
-0.255,-0.752,0.658
-0.252,-0.755,0.656
-0.252,-0.757,0.650
-0.244,-0.756,0.647
-0.239,-0.761,0.643
-0.236,-0.764,0.638
-0.234,-0.764,0.638
-0.231,-0.767,0.641
-0.234,-0.759,0.630
-0.237,-0.756,0.623
-0.223,-0.753,0.668
-0.233,-0.759,0.651
-0.242,-0.771,0.648
-0.238,-0.781,0.650
-0.236,-0.780,0.649
-0.231,-0.770,0.636
-0.230,-0.773,0.625
-0.234,-0.780,0.631
-0.234,-0.776,0.637
-0.236,-0.781,0.632
-0.237,-0.782,0.621
-0.235,-0.774,0.615
-0.232,-0.776,0.615
-0.233,-0.774,0.615
-0.239,-0.780,0.618
-0.238,-0.783,0.618
-0.241,-0.782,0.613
-0.241,-0.785,0.618
-0.240,-0.780,0.629
-0.239,-0.778,0.624
-0.240,-0.780,0.624
-0.239,-0.776,0.630
-0.243,-0.772,0.632
-0.245,-0.771,0.629
-0.245,-0.773,0.631
-0.244,-0.777,0.630
-0.245,-0.784,0.625
-0.245,-0.781,0.618
-0.240,-0.782,0.614
-0.236,-0.785,0.611
-0.231,-0.783,0.612
-0.228,-0.791,0.615
-0.225,-0.787,0.617
-0.229,-0.783,0.623
-0.228,-0.777,0.622
-0.229,-0.765,0.617
-0.231,-0.754,0.624
-0.236,-0.752,0.653
-0.242,-0.751,0.671
-0.243,-0.750,0.669
-0.243,-0.752,0.671
-0.249,-0.744,0.674
-0.248,-0.743,0.676
-0.242,-0.741,0.677
-0.236,-0.743,0.678
-0.231,-0.743,0.678
-0.230,-0.744,0.673
-0.231,-0.743,0.676
-0.231,-0.745,0.683
-0.232,-0.735,0.691
-0.231,-0.732,0.689
-0.229,-0.737,0.698
-0.229,-0.729,0.710
-0.222,-0.730,0.710
-0.220,-0.730,0.707
-0.214,-0.738,0.699
-0.204,-0.747,0.692
-0.200,-0.751,0.684
-0.197,-0.760,0.662
-0.202,-0.758,0.648
