aX,aY,aZ
-0.925,0.041,-0.384
-0.924,0.041,-0.377
-0.923,0.039,-0.374
-0.923,0.041,-0.376
-0.923,0.040,-0.379
-0.921,0.036,-0.374
-0.918,0.032,-0.369
-0.917,0.030,-0.367
-0.913,0.030,-0.371
-0.915,0.034,-0.381
-0.915,0.031,-0.387
-0.913,0.031,-0.388
-0.912,0.031,-0.387
-0.915,0.033,-0.391
-0.916,0.037,-0.383
-0.923,0.040,-0.382
-0.923,0.042,-0.382
-0.928,0.048,-0.378
-0.936,0.053,-0.381
-0.930,0.046,-0.392
-0.930,0.036,-0.396
-0.926,0.027,-0.394
-0.924,0.025,-0.385
-0.922,0.030,-0.370
-0.928,0.046,-0.360
-0.924,0.044,-0.362
-0.915,0.046,-0.379
-0.935,0.050,-0.413
-0.956,0.074,-0.435
-0.975,0.099,-0.476
-0.937,0.120,-0.527
-0.926,0.108,-0.558
-0.910,0.070,-0.556
-0.894,0.040,-0.553
-0.878,0.039,-0.565
-0.868,0.041,-0.568
-0.867,0.050,-0.568
-0.889,0.082,-0.544
-0.891,0.125,-0.518
-0.861,0.106,-0.522
-0.788,0.032,-0.524
-0.789,0.003,-0.522
-0.798,0.038,-0.562
-0.858,0.053,-0.602
-0.941,0.076,-0.572
-0.886,0.075,-0.508
-0.918,0.078,-0.511
-0.890,0.035,-0.553
-0.833,-0.087,-0.616
-0.777,-0.107,-0.644
-0.774,-0.067,-0.576
-0.794,-0.033,-0.555
-0.795,-0.025,-0.487
-0.778,-0.073,-0.457
-0.748,-0.082,-0.507
-0.722,-0.109,-0.550
-0.719,-0.098,-0.576
-0.722,-0.079,-0.581
-0.739,-0.029,-0.573
-0.747,-0.035,-0.545
-0.746,-0.018,-0.539
-0.739,0.004,-0.586
-0.731,-0.002,-0.640
-0.716,0.022,-0.662
-0.685,0.046,-0.636
-0.603,0.044,-0.595
-0.614,-0.009,-0.586
-0.659,-0.002,-0.702
-0.815,-0.061,-0.728
-0.870,-0.063,-0.730
-0.781,-0.083,-0.811
-0.695,-0.043,-0.753
-0.635,-0.032,-0.678
-0.705,-0.057,-0.525
-1.321,-0.245,-0.459
-1.428,-0.148,-0.470
-1.513,0.192,-0.701
-0.902,-0.392,-0.636
-0.900,-0.404,-0.296
-0.782,-0.188,-0.057
-0.724,-0.147,-0.118
-0.741,-0.203,-0.123
-0.777,-0.251,-0.281
-0.888,-0.639,-0.622
-0.915,-0.659,-0.655
-0.800,-0.399,-0.485
-0.735,-0.213,-0.552
-0.813,-0.100,-0.558
-0.962,-0.062,-0.420
-0.938,-0.125,-0.456
-0.874,-0.191,-0.523
-0.788,-0.313,-0.548
-0.744,-0.280,-0.526
-0.738,-0.266,-0.506
-0.781,-0.258,-0.478
-0.815,-0.294,-0.471
-0.921,-0.235,-0.292
-0.923,-0.225,-0.295
-0.920,-0.270,-0.361
-0.894,-0.264,-0.373
-0.887,-0.260,-0.363
-0.861,-0.272,-0.369
-0.819,-0.322,-0.406
-0.812,-0.339,-0.425
-0.789,-0.333,-0.401
-0.816,-0.376,-0.425
-0.834,-0.394,-0.427
-0.862,-0.339,-0.374
-0.878,-0.318,-0.388
-0.878,-0.303,-0.412
-0.870,-0.296,-0.477
-0.854,-0.293,-0.539
-0.854,-0.289,-0.566
-0.854,-0.317,-0.696
-1.227,-0.345,-0.784
-1.087,-0.217,-0.739
-1.080,-0.126,-0.909
-1.012,0.045,-0.925
-0.913,0.155,-0.919
-0.881,0.191,-0.795
-0.973,-0.056,-0.661
-1.118,-0.309,-0.445
-1.221,-1.105,-0.166
-0.842,-0.555,-0.147
-0.737,-0.538,-0.209
-0.804,-0.356,-0.534
-0.714,-0.338,-0.544
-0.700,-0.336,-0.514
-0.747,-0.221,-0.426
-0.720,-0.075,-0.416
-0.669,-0.059,-0.448
-0.649,-0.110,-0.362
-0.722,-0.137,-0.313
-0.805,-0.117,-0.334
-0.929,-0.124,-0.304
-0.902,-0.125,-0.262
-0.887,-0.117,-0.193
-0.827,-0.062,-0.151
-0.806,0.018,-0.398
-0.829,-0.002,-0.610
-0.883,0.042,-0.752
-0.881,0.052,-0.714
-0.871,-0.029,-0.545
-0.844,-0.187,-0.521
-0.795,-0.210,-0.544
-0.740,-0.018,-0.991
-0.655,-0.001,-1.054
-0.626,0.014,-0.803
-0.844,-0.160,-0.221
-1.301,-0.247,-0.254
-1.760,0.321,-0.937
-0.748,-0.090,-0.045
-0.802,-0.093,-0.168
-0.908,-0.406,-0.550
-0.802,-0.658,-0.659
-0.752,-0.536,-0.457
-0.693,-0.366,-0.450
-0.925,-0.006,-0.438
-0.976,-0.080,-0.440
-0.858,-0.085,-0.413
-0.847,-0.150,-0.416
-0.845,-0.210,-0.427
-0.794,-0.282,-0.496
-0.796,-0.326,-0.539
-0.817,-0.269,-0.434
-0.820,-0.288,-0.427
-0.829,-0.261,-0.416
-0.848,-0.178,-0.447
-0.871,-0.174,-0.435
-0.909,-0.201,-0.371
-0.840,-0.372,-0.356
-0.767,-0.395,-0.367
-0.720,-0.406,-0.451
-0.843,-0.366,-0.498
-0.898,-0.356,-0.518
-0.860,-0.334,-0.550
-1.231,-0.515,-0.889
-1.137,-0.386,-0.832
-0.973,-0.172,-0.912
-1.055,-0.040,-0.947
-1.003,0.079,-0.929
-1.018,0.412,-0.778
-1.130,0.350,-0.702
-1.285,0.111,-0.467
-1.337,-0.875,-0.233
-1.060,-0.416,-0.080
-0.868,-0.512,-0.102
-0.719,-0.456,-0.420
-0.703,-0.309,-0.433
-0.658,-0.279,-0.453
-0.693,-0.178,-0.351
-0.727,0.018,-0.262
-0.648,0.019,-0.338
-0.557,-0.018,-0.376
-0.657,-0.107,-0.307
-0.697,-0.145,-0.254
-0.824,-0.099,-0.349
-0.834,-0.096,-0.403
-0.845,-0.092,-0.374
-0.904,-0.061,-0.282
-0.900,-0.010,-0.407
-0.912,0.001,-0.470
-0.836,0.100,-0.720
-0.787,0.147,-0.957
-0.739,0.168,-1.068
-0.813,0.043,-1.080
-0.848,-0.074,-0.894
-0.882,-0.148,-0.629
-0.605,-0.164,-0.427
-0.516,-0.072,-0.400
-0.525,-0.081,-0.363
-0.603,-0.219,-0.282
-1.545,-0.606,-0.333
-1.820,-0.192,-1.159
-1.250,0.368,-1.316
-0.816,-0.285,-0.411
-0.903,-0.252,-0.062
-0.706,-0.099,0.244
-0.921,-0.157,-0.056
-0.880,-0.725,-0.337
-0.714,-0.640,-0.238
-0.573,-0.296,-0.575
-0.768,-0.322,-0.585
-0.900,-0.130,-0.355
-0.986,-0.095,-0.238
-0.849,-0.203,-0.402
-0.795,-0.311,-0.477
-0.787,-0.328,-0.475
-0.833,-0.315,-0.483
-0.831,-0.324,-0.515
-0.796,-0.380,-0.412
-0.805,-0.367,-0.294
-0.866,-0.325,-0.288
-0.959,-0.265,-0.292
-0.973,-0.249,-0.310
-0.963,-0.249,-0.309
-0.888,-0.420,-0.314
-0.895,-0.487,-0.400
-0.880,-0.442,-0.404
-0.891,-0.342,-0.486
-0.954,-0.222,-0.488
-0.946,-0.212,-0.508
-0.813,-0.248,-0.530
-1.073,-0.410,-0.737
-0.941,-0.229,-0.689
-0.821,-0.028,-0.799
-0.959,0.120,-0.916
-0.986,0.202,-0.921
-0.989,0.301,-0.818
-1.269,0.060,-0.487
-1.324,-0.198,-0.346
-1.299,-1.152,-0.289
-1.159,-0.446,0.124
-1.003,-0.243,-0.081
-0.747,-0.142,-0.374
-0.729,-0.111,-0.439
-0.752,0.020,-0.383
-0.690,0.044,-0.304
-0.667,-0.063,-0.298
-0.736,-0.101,-0.132
-0.767,-0.117,-0.093
-0.795,-0.124,-0.100
-0.781,-0.127,-0.182
-0.805,-0.077,-0.200
-0.821,-0.026,-0.247
-0.857,0.119,-0.421
-0.909,0.190,-0.731
-0.908,0.215,-0.832
-0.740,0.131,-0.898
-0.718,-0.040,-0.832
-0.739,-0.030,-0.811
-0.878,0.159,-0.859
-0.780,-0.044,-0.582
-0.669,-0.118,-0.398
-1.148,-0.311,-0.315
-1.172,-0.053,-0.556
-1.291,0.192,-0.589
-0.899,-0.243,-0.897
-0.811,-0.366,-0.146
-0.822,-0.364,0.079
-0.704,-0.133,-0.034
-0.858,0.093,-0.133
-0.961,-0.122,-0.318
-0.853,-0.651,-0.578
-0.803,-0.666,-0.575
-0.692,-0.551,-0.493
-0.716,-0.378,-0.347
-0.939,-0.223,-0.227
-1.009,-0.153,-0.286
-0.955,-0.090,-0.342
-0.944,-0.133,-0.374
-0.904,-0.191,-0.386
-0.812,-0.282,-0.389
-0.810,-0.336,-0.411
-0.833,-0.309,-0.399
-0.879,-0.281,-0.338
-0.932,-0.236,-0.316
-0.950,-0.238,-0.304
-0.926,-0.297,-0.290
-0.858,-0.415,-0.271
-0.849,-0.443,-0.296
-0.811,-0.476,-0.372
-0.837,-0.401,-0.404
-0.872,-0.331,-0.401
-0.913,-0.280,-0.453
-1.115,-0.281,-0.467
-1.029,-0.208,-0.423
-1.079,-0.277,-0.648
-1.105,-0.150,-0.664
-1.039,-0.042,-0.652
-1.007,0.206,-0.631
-1.050,0.174,-0.542
-1.084,0.080,-0.454
-1.142,-0.119,-0.252
-1.073,-0.378,-0.027
-1.131,-0.030,-0.066
-1.076,-0.203,-0.171
-0.918,-0.069,-0.271
-0.902,0.037,-0.396
-0.896,0.014,-0.296
-0.751,-0.126,-0.174
-0.738,-0.152,-0.158
-0.699,-0.068,-0.126
-0.682,-0.035,-0.239
-0.701,-0.013,-0.264
-0.726,-0.006,-0.299
-0.780,0.056,-0.322
-0.822,0.073,-0.357
-0.854,-0.021,-0.335
-0.859,0.165,-0.413
-0.874,0.055,-0.430
-0.877,0.023,-0.851
-0.819,0.113,-0.851
-0.881,-0.093,-0.934
-1.054,-0.216,-1.012
-0.914,0.274,-0.952
-1.047,0.686,-0.358
-0.877,-0.534,0.176
-0.850,-0.611,0.070
-1.042,-0.406,0.115
-1.046,-0.282,-0.575
-0.839,-0.020,-0.782
-0.809,0.083,-0.672
-0.722,-0.241,-0.545
-0.886,-0.446,-0.336
-0.936,-0.461,-0.373
-0.985,-0.261,-0.394
-1.011,-0.160,-0.469
-0.959,-0.157,-0.484
-0.783,-0.282,-0.407
-0.784,-0.361,-0.423
-0.760,-0.381,-0.435
-0.792,-0.341,-0.454
-0.865,-0.251,-0.497
-0.877,-0.223,-0.497
-0.926,-0.279,-0.462
-0.906,-0.263,-0.394
-0.886,-0.266,-0.381
-0.845,-0.335,-0.393
-0.777,-0.305,-0.516
-0.771,-0.319,-0.481
-0.743,-0.283,-0.501
-0.643,-0.154,-0.558
-0.751,-0.019,-0.451
-1.022,0.065,-0.411
-1.357,0.089,-0.226
-1.634,-0.119,-0.519
-1.592,-0.112,-0.593
-1.258,-0.183,-0.442
-0.935,-0.061,-0.329
-0.897,-0.065,-0.274
-0.889,-0.033,-0.316
-0.981,0.336,-0.433
-0.959,0.382,-0.288
-0.827,0.099,-0.296
-0.820,-0.120,-0.243
-0.749,-0.281,-0.257
-0.696,-0.365,-0.416
-0.722,-0.144,-0.236
-0.653,-0.133,-0.426
-0.653,-0.074,-0.551
-0.709,-0.025,-0.751
-0.682,0.083,-0.753
-0.699,-0.002,-0.672
-0.615,0.028,-0.760
-0.718,0.157,-0.853
-0.769,0.183,-0.879
-0.705,0.150,-0.953
-0.530,0.127,-0.869
-0.428,0.095,-0.835
-1.316,0.136,-0.507
-1.165,-0.105,-0.368
-1.249,-0.112,-0.416
-1.016,-0.166,-0.584
-0.766,-0.176,-0.430
-0.765,-0.134,-0.303
-0.711,0.176,-0.047
-1.032,0.127,-0.043
-1.052,-0.148,-0.231
-0.990,-0.628,-0.528
-0.819,-0.680,-0.612
-0.738,-0.589,-0.603
-0.629,-0.423,-0.493
-0.705,-0.340,-0.524
-0.852,-0.238,-0.420
-1.011,-0.097,-0.397
-0.953,-0.091,-0.398
-0.970,-0.138,-0.312
-0.929,-0.242,-0.322
-0.847,-0.272,-0.345
-0.814,-0.370,-0.519
-0.815,-0.378,-0.494
-0.826,-0.331,-0.457
-0.867,-0.264,-0.423
-0.887,-0.263,-0.406
-0.910,-0.293,-0.431
-0.849,-0.234,-0.423
-0.899,-0.175,-0.392
-0.843,-0.321,-0.376
-0.809,-0.365,-0.404
-0.745,-0.398,-0.465
-0.775,-0.345,-0.479
-0.900,-0.252,-0.427
-1.016,-0.279,-0.411
-0.958,-0.303,-0.427
-1.133,-0.312,-0.652
-1.076,0.083,-0.961
-1.156,0.121,-0.726
-1.495,-0.152,0.047
-1.293,-0.186,0.104
-0.945,-0.351,-0.093
-0.752,-0.141,-0.538
-0.757,-0.005,-0.486
-0.691,0.082,-0.362
-0.661,-0.067,-0.237
-0.584,-0.025,-0.234
-0.487,-0.043,-0.382
-0.527,-0.084,-0.304
-0.558,-0.115,-0.223
-0.694,-0.115,-0.188
-0.792,-0.037,-0.336
-0.818,-0.068,-0.397
-0.849,-0.002,-0.452
-1.026,0.320,-0.616
-0.679,-0.053,-0.952
-0.654,0.000,-1.174
-0.854,0.357,-1.535
-1.424,-0.181,-0.669
-1.158,0.214,-0.189
-1.146,-0.203,-0.116
-1.338,0.254,-0.378
-1.034,-0.072,-0.561
-0.732,-0.394,-0.355
-0.699,-0.471,-0.223
-0.648,-0.447,-0.231
-0.856,0.047,-0.248
-0.918,-0.148,-0.413
-0.909,-0.433,-0.546
-0.864,-0.503,-0.559
-0.853,-0.357,-0.416
-0.806,-0.271,-0.368
-0.862,-0.119,-0.273
-0.915,-0.185,-0.408
-0.743,-0.308,-0.443
-0.727,-0.334,-0.455
-0.761,-0.326,-0.450
-0.817,-0.265,-0.528
-0.813,-0.260,-0.562
-0.805,-0.287,-0.491
-0.807,-0.291,-0.380
-0.832,-0.300,-0.343
-0.944,-0.248,-0.309
-1.001,-0.245,-0.312
-0.995,-0.250,-0.332
-0.919,-0.382,-0.294
-0.844,-0.472,-0.290
-0.850,-0.424,-0.347
-0.979,-0.288,-0.423
-0.976,-0.236,-0.467
-0.920,-0.242,-0.480
-0.791,-0.322,-0.557
-1.123,-0.381,-0.804
-1.059,-0.155,-0.762
-0.942,0.031,-0.949
-0.940,0.127,-1.139
-0.904,0.237,-1.088
-1.137,0.211,-0.613
-1.275,-0.202,-0.300
-1.349,-0.909,-0.163
-1.326,-0.312,-0.117
-0.773,-0.414,-0.193
-0.625,-0.272,-0.383
-0.739,-0.105,-0.535
-0.686,-0.070,-0.328
-0.662,-0.112,-0.312
-0.687,-0.127,-0.121
-0.740,-0.070,-0.103
-0.732,-0.081,-0.167
-0.800,-0.063,-0.252
-0.855,-0.003,-0.190
-0.932,0.083,-0.228
-1.089,0.315,-0.515
-0.915,0.378,-0.822
-0.780,0.286,-0.972
-0.701,-0.048,-1.179
-0.708,0.123,-1.234
-0.708,0.185,-1.081
-0.731,-0.035,-0.204
-1.222,-0.593,-0.084
-1.288,-0.477,-0.116
-1.819,0.655,-0.306
-0.700,-0.477,-0.824
-0.790,-0.545,-0.223
-0.654,-0.302,-0.222
-0.661,-0.125,-0.228
-0.745,-0.040,-0.161
-0.894,-0.219,-0.340
-0.830,-0.572,-0.648
-0.789,-0.568,-0.648
-0.736,-0.376,-0.556
-0.906,-0.054,-0.308
-0.990,-0.055,-0.276
-0.909,-0.091,-0.426
-0.728,-0.361,-0.501
-0.760,-0.330,-0.487
-0.885,-0.310,-0.408
-0.844,-0.340,-0.325
-0.823,-0.337,-0.304
-0.875,-0.316,-0.278
-0.928,-0.303,-0.325
-0.959,-0.276,-0.347
-1.029,-0.177,-0.348
-0.962,-0.378,-0.407
-0.878,-0.390,-0.488
-0.841,-0.265,-0.634
-0.960,-0.153,-0.607
-0.965,-0.162,-0.620
-1.107,-0.130,-0.819
-0.988,0.020,-0.855
-0.900,0.069,-0.946
-0.886,0.233,-1.128
-0.944,0.311,-0.813
-1.156,0.170,-0.723
-1.606,-0.842,-0.074
-1.564,-0.439,0.181
-1.220,-0.512,-0.029
-0.683,-0.367,-0.192
-0.679,-0.175,-0.524
-0.631,-0.157,-0.601
-0.686,0.057,-0.461
-0.663,-0.067,-0.326
-0.597,-0.038,-0.301
-0.559,-0.114,-0.222
-0.596,-0.117,-0.155
-0.610,-0.089,-0.162
-0.742,-0.108,-0.037
-0.818,-0.108,-0.140
-0.841,-0.093,-0.194
-0.881,0.007,-0.275
-0.980,0.260,-0.707
-0.675,-0.112,-1.212
-0.871,0.053,-1.218
-0.857,0.442,-1.244
-0.790,0.080,-0.376
-1.324,-0.158,-0.011
-1.145,-0.572,-0.082
-1.602,0.221,-0.495
-1.773,0.440,-0.979
-0.698,-0.330,-0.528
-0.711,-0.371,0.037
-0.583,-0.271,0.248
-0.719,-0.039,0.071
-0.997,-0.092,-0.188
-0.955,-0.485,-0.447
-0.856,-0.724,-0.729
-0.593,-0.381,-0.677
-0.466,-0.238,-0.712
-1.011,-0.065,-0.244
-1.003,-0.099,-0.271
-0.926,-0.172,-0.302
-0.832,-0.285,-0.289
-0.772,-0.284,-0.394
-0.783,-0.316,-0.429
-0.845,-0.273,-0.440
-0.903,-0.279,-0.411
-0.842,-0.326,-0.356
-0.872,-0.337,-0.383
-0.912,-0.294,-0.422
-0.977,-0.201,-0.426
-0.996,-0.272,-0.402
-0.948,-0.336,-0.427
-0.855,-0.316,-0.633
-0.904,-0.211,-0.616
-0.874,-0.196,-0.595
-1.208,-0.128,-0.844
-0.917,0.130,-0.924
